,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,consumer_comlaint_code,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
11,2022-09-28,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"Bank of America totally disregarded my objections to being transferred to XXXX who are known bottom feeders. There was absolutely no reason for this transfer other than it was done based on my XXXX  It appears that Bank of America allowed XXXX a look at my loan, XXXX late payments, credit score over 800 I am a A+ borrower. 
"" Homeowners are often transferred to XXXX once they become delinquent on their mortgage payments. Many lenders try to protect their brand when it comes to foreclosing on homeowners. '' The information on XXXX only get 's worse. Being with Bank of America since 2005 and having a excellent record leads to me to believe there is a quid pro quo when he comes to XXXX  and the transferring of their loans. The mortgage industry is well aware of the top tier mortgage companies, XXXX is not one of them. This is a way of identifying subprime loans in the industry, which my loan is not. This XXXX intrinsic and bias behavior is unacceptable and requires an investigation.",Mortgage sold/ customer service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92506,Older American,Consent provided,Web,2022-09-28,Closed with explanation,Yes,N/A,6027194
12,2022-09-27,Mortgage,Conventional home mortgage,Trouble during payment process,NA,I received a loan modification 2013 which gave me a balloon payment I cant afford,Mortgage modification,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11378,NA,Consent provided,Web,2022-09-27,Closed with non-monetary relief,Yes,N/A,6024638
13,2022-08-25,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXXXXXX Ref : Bank of America - Home Loan number : XXXX Bank of America - Escrow Account Number : XXXX To Whom it May Concern, XXXX XXXX is XXXX XXXX of age and has been a customer of Bank of America for over 40+ years. 
I am XXXX neighbor and dear friend and I happen to work in the Financial Industry. 
For the past two years XXXX has kept me informed of the challenges that he was having and I could see how taxing this was on his health. He has spent, ( countless hours on the phone and at the branches ), imploring, that something was wrong with his mortgage, he has never been late on a mortgage payment in his life. ( See attached XXXX spreadsheet ), of the attempts to fix this issue with Bank of America. 

In XX/XX/XXXX XXXX received a real estate loan in the amount of {$220000.00} to purchase a property at XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX 
Prior to his loan closing he opened an escrow account with Bank of America to make his Principal, Interest, Taxes, and Insurance payments monthly. This escrow account was funded from a XXXX XXXX account # XXXX. In XX/XX/XXXX they set up for an ACH debit from their XXXX Account to the BofA escrow account monthly, ( see attached statements ). 
When they received the XX/XX/XXXX mortgage statement, he noticed that the mortgage payment was not made for the month of XX/XX/XXXX but the XXXX ACH debit went through to Bank of America Escrow Account, they assumed it crossed electronically. 
On XX/XX/XXXX they received a letter from BofA Home Loan Account that they were delinquent. This is where the nightmare begins, ( See XXXX Spreadsheet ), outlining all of the phone calls, letters, in person visits, to no avail. BofA confirmed that it was their mistake and this would not impact XXXX credit. I told them to pull his credit immediately and yes it showed in arrears 30, 60, 90 days delinquent on their mortgage. His credit score plummeted to XXXX via XXXX. 

At this point at the end of XXXX, throughout XXXX and XXXX, they continuously show delinquent on their mortgage payment. Their cries for help have fallen to no avail. 

Please call my Partner who is on the deed of trust XXXX XXXX at XXXX Attachments : 1 ) XXXX Spreadsheet showing continual contact and case numbers from Bank of America 2 ) Bank of America Mortgage Statements by month 3 ) XXXX Statements showing ACH debits to credit BofA Escrow.",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,93065,"Older American, Servicemember",Consent provided,Web,2022-08-25,Closed with explanation,Yes,N/A,5911566
14,2022-08-19,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"My main issue is that Bank of America ( BofA ) required me to over insure their loan collateral. I owed BofA approximately {$260000.00}. in XXXX of XXXX and they required insurance coverage of {$730000.00}. As a result, their cost estimator of {$730000.00} was over the XXXX XXXX XXXX 's upper limit of coverage resulting in a XXXXXXXX XXXX non-renewal. As you can see from the attached documentation BofA charged me {$9700.00} for {$730000.00} in Insurance coverage from XX/XX/XXXX through XX/XX/XXXX. I tried to get another insurance company to write my XXXX insurance but couldn't find anyone along with my insurance agent looking as well. My insurance agent is XXXX XXXX with XXXX XXXX XXXX located at XXXX XXXX XXXX XXXX, XXXX XXXX, FL XXXX, Phone : XXXX XXXX XXXX. In order to get XXXX XXXX XXXX XXXX to write a new policy within their limits of coverage I had to get a 4 Point Inspection and a Wind Mitigation report which was costly and time consuming, but it did result in a decreased replacement cost estimator. Attached is the new "" Evidence of Property insurance '' document based on a cost estimator of {$580000.00} instead of the {$730000.00} amount that BofA used. Also attached is a letter from BofA stating that I had 30 days from XX/XX/XXXX which was the date of their letter to provide proof of insurance. Due to need of obtaining a new cost estimator cost ; which required the two inspections mentioned above along with an additional 30-day grace period for new XXXX 's policies to take effect, I couldn't make the XX/XX/XXXX deadline and instead had to wait until XX/XX/XXXX for my new XXXX policy to take effect. I've been with my mortgagor ; BofA, since XXXX along with XXXX XXXX as well and considering the circumstances of BofA 's inflated replacement cost estimator one would think that BofA might be understanding and considerate enough giving me more time to obtain the appropriate XXXX coverage. Since XXXX I've kept my XXXX and XXXX & XXXX along with my flood insurance current and continuous except when BofA comes up with an impossible inaccurate replacement cost estimator. 

My mortgage account number with BofA was recently changed to XXXX from my old account number XXXX. The address of my insured home mortgaged by BofA is XXXX XXXX XXXX XXXX, XXXX XXXX, FL XXXX. The XXXX XXXX XXXX XXXX policy number as reflected by the attached XXXX document is XXXX. Their address is XXXX XXXX XXXX, XXXX XXXX NC XXXX and their phone number is XXXX XXXX XXXX. XXXX 's annual premium as reflected by the attached document was {$32000.00} but supposedly {$23000.00} was returned to my BofA account due to my new XXXX 's policy taking effect on XX/XX/XXXX. If you do the math the charge to my BofA account comes out to {$9700.00} for the XX/XX/XXXX through XX/XX/XXXX coverage. I'm XXXX years old and bought my home 30 years ago come this XXXX and can't afford to pay the {$9700.00} due to insurable inaccurate technicalities. Please see what you can do to help me out here. Thank you for your time and consideration. 

Sincerely, XXXX XXXX XXXX XXXX XXXX",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33431,Older American,Consent provided,Web,2022-08-19,Closed with monetary relief,Yes,N/A,5897541
15,2022-08-18,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I am writing to you because I am literally at my wits end. Im at a complete loss and I hope you can get accomplished at what Ive been unsuccessful at. 

On XX/XX/XXXX I walked into a local Bank of America branch to pay my mortgage. What I didnt know until Saturday, XX/XX/XXXX is that on XX/XX/XXXX the teller applied my mortgage payment to my Bank of America credit card XXXX I was scheduling my monthly bills this day when I was scheduling the BOA credit card it said I owed {$0.00} with a credit of {$570.00}. I was like do I have a secret Santa? Nope I saw payment made XX/XX/XXXX in the amount of my mortgage. I went down to the local branch with my receipts from XXXX which showed it was applied to the credit card. 

The gentleman took copies and said they couldnt fix it there and couldnt reach out to whoever until Monday XX/XX/XXXX. He took my info I got a direct number to that location went home. The guy from the bank called me said they could get ahold of someone but I needed to come back to authorize the fixing of the mistake. I went down they got a guy named XXXX on the phone he said he put in the change itll be reflected by Wednesday XX/XX/XXXX. 

As of today XX/XX/XXXX it has not been fixed Ive been to the local branch multiple times, Ive called the XXXX # and sent them messages. I have now been reported to XXXX twice for 2 months of late payments as my XXXX payment they took out of my bank account but have not applied it to my mortgage. 

This has been the worst experience ever, how difficult is it to remove the wrongly applied mortgage payment from the credit card and rightly apply it to the mortgage? Ive opened up a dispute with XXXX and then tonight I get another notification BOA has flagged me 2 months late Ive never been late ever in the 12 years Ive had a mortgage with BOA. It should not take this long to fix a mistake made by BOA and in the process my credit is taking a hit which I pride myself on good credit. 

Ive called, messaged and gone to the local branch not resolved. The customer service is awful right up there with XXXX. One response I got was were not responding to this your other message isnt closed, meanwhile theyre sending me stuff for having trouble paying my mortgage. 

I was charged at late fee etc. I just cant with this bank I honestly dont know if you can even help but this has been a nightmare. Ive included the documents you need the receipts the messages Ive sent screenshots showing I was reported to XXXX twice since Sunday, XX/XX/XXXX. 

I not only want my mortgage payments applied correctly, I want the XXXX ( XXXX ) reports to XXXX to be removed. My credit should not take a hit because the bank made the mistake.",Mortgage/ payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,2382,NA,Consent provided,Web,2022-08-18,Closed with non-monetary relief,Yes,N/A,5894203
16,2022-08-17,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"Good Day To Whom it May Concern I am contacting you about a ongoing situation at XXXX XXXX XXXX in XXXX Connecticut XXXX XXXX XXXX and myself, XXXX XXXX, I came into her life in XX/XX/XXXX An overview of this problem In XXXX of XXXX Bank of America and serving company XXXX XXXX XXXX converted their INTEREST ONLY to a conventional. The payment shock put us in foreclosure. It went from {$2700.00} to {$4600.00}. Let me give you the history of the situation. In XXXX my girlfriend bought the house with XXXX XXXX  ( XXXX ) loans then Bank of America ( BofA ) bought the loan from XXXX in XX/XX/XXXX. XXXX miss guided her and gave her an interest only loan which lasted over 13 years. Being a divorce single women she was mislead into the lowest payment which in effect maximized XXXX profits. At the time she was paying {$2700.00} a month and it was interest only which she did not understand, therefore the mortgage amount, principle wise did not decrease in those 13 years at all. They miss guided her at Bank of America when they took over the loan from XXXX and the principal did not decrease in 13 years. What I believe is unjust enrichment they took advantage of her, in XXXX they converted the interest only to a conventional type loan which she can not afford the payment shock of {$2000.00} more a month therefore I came aboard to help her and I put myself on the mortgage in order to sustain performing. Therefore Im asking with your help if we can get some credit or reimbursement of the interest because it ranges from over {$200000.00} in the 13 years due to the unjust enrichment laws. She still owes an original amount on the principal amount which is roughly {$500000.00} so what I like to do is have them reduce the principal and or write a check. It was unjust and therefore put her in a situation that was not necessary nor truthful. I believe she was not fully disclosed on her options when she purchased the home and the mortgage broker seized the opportunity to ensue a woman who did not understand what she was getting into therefore I want your help and or advice on what to do next. Thank you for your consideration in this matter. XXXX XXXX XXXX XXXX XXXX XXXX This was opened and closed without a resolution because they said they have documents doesnot justicfy my claim because they responded doesnt mean im satsifuied im not and no is taking action to help us what is the complaint process for they claim legal over charging us for a loan mmmmmmisrepresented and because we are ingorant that its legal XXXX  this is a form of criminal enrichment and i want compensation they recieved over {$200000.00} in interest and still looking to collect on the principal of XXXX plus this is robbery and if it goes UNJUSTED we FAIL AS A CIVILIZED COMMUNITY. I NEED SOMEONE TO ADDRESS THE ISSUE WE ARE OVER PAYING REGARDLESS OF THE CORRESPONDENCE FROM THE BANK",Mortgage sold/ customer service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,6905,Older American,Consent provided,Web,2022-09-01,Closed with explanation,Yes,N/A,5890932
17,2022-08-08,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"Mortgage payments have always been prior to their due date and never behind schedule. We received a tax bill from our Township stating that the taxes had not be paid. Upon reaching out to Bank of America, they informed us that the taxes had not been paid. They had an incorrect due date of XX/XX/2022. The correct due date for my taxes is XX/XX/2022 with a delinquent date of XX/XX/2022. Once a discussion was had with the Bank, they also informed me of the correct amount of taxes being paid by about {$800.00}. The best that they could promise was that the taxes would be paid "" sometime before the delinquent date '', which again was in XXXX days.",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,8110,NA,Consent provided,Web,2022-08-08,Closed with non-monetary relief,Yes,N/A,5854999
18,2022-08-05,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I did a refinance ( existing BoA mortgage ) with Bank of America in XX/XX/XXXX. 
XXXX agreed to was {$850.00} monthly in XXXX XXXX 
One of the Bank of America associates assisted me in setting up automatic payments. 
Part of the loan proceeds were used for wind mitigation work on the house. 
XXXX XXXX accepted the inspection report and issued a partial refund in XX/XX/XXXX. 
I contacted Bank of America and they moved {$890.00} from my checking to Escrow.

The refund was for the balance of the year, a 6-month period ending XX/XX/XXXX. 
I sent BoA a revised lower insurance premium Declarations Page from XXXX XXXX. 
I received an email from BoA stating my mortgage payment is now {$5.00} HIGHER. 
If I did not tell Bank of America, per their associate, my payment would not have changed. 

I need some assistance. I do not understand, and Bank of America has not offered a clear explanation, how the insurance can go down and an advance payment made to escrow can have a NEGATIVE effect on the monthly payments.",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33484,Older American,Consent provided,Web,2022-08-05,Closed with explanation,Yes,N/A,5847185
19,2022-08-01,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"Please read attached document "" Bank of America Complaint to cfpb '' due to graphics unable to show in this format. Sorry for the inconvenience.",Undecipherable,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98138,"Older American, Servicemember",Consent provided,Web,2022-08-01,Closed with explanation,Yes,N/A,5829058
20,2022-07-22,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"A few weeks ago I requested my XXXX be cancelled. 

I was told by XXXX XXXX an appraisal is needed by my investor. 

I then requested to know who my investor was. 

To this date that information has never been provided. 

I then spent time finding out on my own who my investor is. 

I spoke to my investor about the requirement for an appraisal. The investor informed me it is not an appraisal they are asking for but a BPO. 

The investor further informed me that an exterior BPO is typically performed for PMI cancellations, I received an email from XXXX XXXX stating the investor says it can be an interior or Exterior. 

Very confusing and more road blocks. This conflicts with what the investor told me. 

I previously requested Bank of America about an overage in my escrow account, Bank of America informed me it was there policy to only look at escrows once a year and that would be next year. 

I filed a complaint saying thats illegal and only after filing the complaint did they return the overage. 

I have no confidence in the credibility of how XXXX XXXX is handling this request to cancel my PMI.",PMI,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30047,NA,Consent provided,Web,2022-07-22,Closed with explanation,Yes,N/A,5800791
