,date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,consumer_comlaint_code,company_public_response,company,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
33,2022-06-02,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I went to pay my last payment XXXX tax office ion XXXX, XXXX XXXX. Have never had an escrow account with BANK OF AMERICA. Tax office said BOA had paid my last payment of XXXX without informing me. I immediately called BOA and paid them the XXXX. Begged cried and pleaded with them to delete escrow account, as it was paid in full. I am on XXXX and get XXXX per month yo pay my bills. My parents help me with taxes. I pay insurance separately also. HAVE BEEN WITH THEM OVER 20 YEARS. Paying XXXX per month. Payment has gone up to XXXX a month. They have tried to force me into a loan modification and other government help. I do not want that. Paid regular XXXX and they sent it to unapplied funds. Saying I didn't pay FULL AMOUNT DUE AND THEY DO NOT TAKE PARTIAL PAYMENTS. I called and pleaded but yo no avail. Again, they changed my mortgage payment from XXXX to XXXX a month. Please help me. I'm XXXX and.have never been late with a payment. Had paid XXXX yo tax office, went to pay final amount in XXXX and tax office said BOA has already paid remaining, called and paid BOA remaining amount immediately. They have forced me into escrow without any contact at all. When I ask to be removed they said NO. ITS like my 20 year history with them doesn't even matter. I am sending pics of statements where they wouldn't apply my regular payment of.XXXX. Until I paid XXXX... I am on a fixed income. I can not pay the XXXX extra every month. Never been behind on taxes, insurance or my house note. I really need your help..I just want them to take me out of escrow. XXXX may not seem like al",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30185,NA,Consent provided,Web,2022-06-02,Closed with non-monetary relief,Yes,N/A,5627238
34,2022-06-01,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"Bank of America refuses to acknowledge/fix a payment that I made to them back in XX/XX/XXXX. They applied incorrectly to a escrow account and Ive been trying to get this fixed ever since. This entire year they have not been able to apply the funds correctly or refund me the money. In XXXX of this year I paid it again because they were now reporting me to the credit bureaus even though payments were made. Now I received a corrected XXXX tax statement. It almost seems like BOFA is intentionally doing this so people can lose their homes. They are the worst at getting back with any information. 
I just emailed them again tonight. Attachment shows all the payments that I have made to them. 

From : XXXX XXXX XXXX Date : XX/XX/XXXX at XXXXXXXX XXXX XXXX To : XXXX, XXXX Subject : Now this Please tell me me what in the world is going on with my account. I just received another letter about a corrected mortgage interest for XXXX. Im sorry, do I now need to go an amend my return because of your error???? Im at my wits end with this. The fact that this is something that has been going on since XXXX of XXXX is incomprehensible. For BOFA to promote mental health and act like they care about their customers is a total facade. To put a customer through endless torture of not being able to find funds for a payment that was made in XX/XX/XXXX!!!! 
Maybe because you people were working from home and nobody was doing any follow-ups. Either way this is your problem BOFA. Fix it I will go to social media and post all of my emails and attempts for you to fix this. My credit is being affected even though its your error. I ask that someone from your corporate office in NC give me a call. Do not call me from your office in CA or TX. Your employs at these locations have done nothing for me and say yes they will get it reversed and fixed but nothing is done. Its been 24 months of XXXX Shame on you BOFA. Ive made my payments every month and you have a record of that. You misrouted my funds from my XX/XX/XXXX payment and you want me to just forget about it. Fix it!!!!!!!!!!!! Fix it!!!!!!!!",Mortgage/ payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,93306,NA,Consent provided,Web,2022-06-01,Closed with explanation,Yes,N/A,5622412
35,2022-05-28,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I am a XXXX XXXX XXXX retired XXXX from the XXXX XXXX XXXX. In my XXXX XXXX working within the XXXX XXXX XXXX XXXX, whether in XXXX XXXX XXXX XXXX XXXX facing with many difficult problems and decisions, I had not run across the level of denial or ignorance that I have observed within the Bank of America system . Refusing to accept responsibilities, accountability; refusing to admit wrong doing, deliberately covering up facts and mistakes. A person or an institution not willing to admit wrongs, would not recognize those wrongs, therefore will not see a need to make corrections. 

In the last comment stated in the response on XX/XX/XXXX that XXXX XXXX, we realized that you may not be pleased with our final resolution and Bank of America considers the matter closed and will no longer respond to further inquiries ; clearing telling me and the rest of the world that Bank of America does not want to answer any pertinent questions honestly and in detail, does not want to resolve the issues, just want to sweep this mater under the rug and not wanting to deal with them. If there was a final resolution as stated, please share with me what was this final resolution from Bank of America? 

Shortly after the fire was put out by the XXXX XXXX XXXX, my home insurance XXXX issued me a check in the amount of {$170000.00} on XX/XX/XXXX as an initial payment for restoring our home. I deposited this check into my BofA account on XX/XX/XXXX, and I was not told or received any explanation that the check is being handled differently than any other checks. After XXXX months not seeing this amount available I started calling BofA to find out what happen to my fund supposed to be available for me to pay the contractor. I finally received funding in my account ( XXXX and a half months later ), but only {$57000.00} was released to me on XX/XX/XXXX. I called BofAs Property claims for an explanation. I was told that because there were dishonest contractors out there who failed to perform as expected, BofA has to closely monitor how funding is released by ordering periodic home inspection, review the report closely and carefully, authenticate the written report with the accompanied photos that the percentage of job completion is accurate before disbursing the fund. Bank of America failed to accomplish that process. 

If BofA had reviewed the XX/XX/XXXX report closely along with the photos, the 60 % job completion failed to support the amount of work done in accordance with the photos taken by the inspector. Why was that not caught the eyes of the BofA personnel who were responsibility in reviewing the report? Past experience that BofA has with the possibility of dishonest contractors doing less work and receiving more pay from its customers has driven BofA to initiate a procedure to closely and carefully review home inspection report for job progress before funding release. BofA has internal guidelines and SOP that their personnel has to follow to insure the effectiveness of this program and to prevent mishaps. Your personnel had done their part to withhold insurance disbursed funds ; they had also done their part to order the home inspection reports. BofA personnel had failed to properly review and authenticate the reports for validity and accuracy. If this last step was done when the XX/XX/XXXX inspection report was received ; the percentage of job completion was only 30 % and not 60 % ; and the second payment of {$46000.00} should not have released on XX/XX/XXXX. This system of check and balanced has not included the homeowners ( who know their home ) or the insurance company who pay for the home restoration, only BofA has this report and not diligently managed or processed them. ( see attached faulty XXXX inspection report ) Unreasonably closing a case by not giving a satisfactory explanation would not solve a problem, if Bank of America still think that it is not liable for the insurance fund mismanagement action, give me a satisfactory explanation ( 1 ) why you are not liable for failing to follow your own process? ( 2 ) Why disbursing more fund than work done creating an opportunity for abuse by dishonest contractors is not your liability? ( 3 ) why failing to review the inspection reports closely and carefully is not your responsibility? ( 4 ) Why even bother to order for home inspection if you are not going to read the content carefully before disbursing fund? Please answer all points by the number, and again do not give schoolbook answers that every one already know. I would not be asking those question if you are following your procedures by the book. 

In the past XXXX complaints I filed, BofA had totally ignored or to address this process is not being followed, recklessly issued my fund and blatantly blaming me for my action. Please address your home inspection process how you exercise your review and authenticate those reports as accurate leading to appropriate funding release. Again, please do not give me schoolbook answers as you did in the past. I want to know what your Property Claim personnel really did with those reports and why they had missed such critical errors I had filed a report with the Federal Trade Commission against XXXX XXXX XXXX XXXX XXXX on XX/XX/XXXX for fabricating and falsified home inspection reports ( see attached falsified reports ). XXXX is contracted by Bank of America and BofA is totally responsible for its action for the deliberate delivery of falsified home inspection reports, and BofA acted upon their results in releasing fund to me. If BofAs verifying process not including the homeowner when those reports become available, then BofAs system is flawed, and a flawed system resulting in harm done to BofA customers, BofA is still liable for the damage and must compensate for its mistakes. Bank of America is holding my insurance fund and not diligently managing that fund, Bank of America is liable for the mis- management of that fund leading to more money release than work done. 

Bank of America and XXXX XXXX XXXX are the professionals who have the knowledge of the definition of percentage of job completion and details how the percentage arrives. A lay person like myself is lacking that knowledge, and thats the reason I have to rely on them to assure the amount of work done by the XXXX is accurately assessed. Misinterpreting that value leading to wrong judgment is the liability of Bank of America and XXXX XXXX XXXX. A mistake is unintentional, a misguided act ; but an intentional misdirection is more than a mistake. Both Bank of America and XXXX had made several intentional misdirection leading to harm done to me financially. Please do not ignore this comment, give a reasonable and acceptable explanation if you disagree!",Insurance claims on home,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98138,"Older American, Servicemember",Consent provided,Web,2022-05-28,Closed with explanation,Yes,N/A,5618652
36,2022-05-26,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I have a mortgage with Bank of America. In XXXX of XXXX they billed me 2x and I paid them both. They applied the extra payment to the next month. I was fine with that. I enjoyed being a month ahead on my payments. In XXXX of XXXX, they decided on their own to stop doing that and apply it all to principal. I called and had them change it back to being an extra month ahead. Now every month they try to keep trying to apply my payments to extra principal and I have fight them to change it to a standard payment. This month they are refusing to change it to a standard payment. I have all the documentation to prove this. I understand terms and conditions of a loan can be changed if both parties agree. They continually keep trying to change back the way they want without my consent. 

Thank You, XXXX XXXX",Mortgage/ payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",IL,61822,NA,Consent provided,Web,2022-05-26,Closed with explanation,Yes,N/A,5604912
37,2022-05-22,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"During Covid, XXXX XXXX offered mortgage relief ( I have two loans for two houses, XXXX XXXX was awesome, Bank of America was horrible, and my new loan servicer for the BofA loan is good ). I did not have to pay on my mortgages until they told me to. Then the loan servicers forwarded an offer from XXXX XXXX to modify my loans, to include the extra accumlated from Covid ( interest, taxes and interest ). Which I accepted. 

Bank of America "" loan servicing dept '' called me three days a week during the time to make sure everything was following XXXX XXXX rules. On XX/XX/2022, I completed the requirements for the loan modification. I was ordered to stand down by BofA loan servicers until further notice. That loan servicing corporation was now responsible for my loan. 

Meanwhile, the Bank of America forclosure department started sending demand letters that were alien to the XXXX XXXX contractual offer. 
Then AFTER bank of america no longer had any legal authority on the loan. The forclosure department was trying to shake me down for {$45000.00} in "" arrears ''. 
Then the foreclosure department reported me to credit reporting agencies in XXXX as being 120 days in arrears in XXXX. When they had no legal authority on the loan for several months, thus no legal ability to make the report. Thus taking my credit score down to XXXX. 
This will affect my employability, my current loans and other critical aspects of life",mortgage sold/ customer service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MO,63043,Servicemember,Consent provided,Web,2022-05-22,Closed with non-monetary relief,Yes,N/A,5589135
38,2022-05-19,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"From my home loan account, Bank Of America ( BOA ) paid, in error, my yearly home owner 's insurance premiums twice : once to the correct company, XXXX, in the amount of {$800.00}, and then in redundancy to XXXX XXXX in the amount of {$1500.00}. 

I switched providers, because the rates at XXXX were too high for me. I notified BOA of this change over a month before this bill was due. I even had a 3-way call with BOA and my new insurance company, XXXX. BOA knew to pay XXXX. Without my consent, they took money out of my escrow and paid both companies! Now, they won't credit my account, let alone admit that they made a mistake. The arrogance that I've encountered with their customer service employees is epic! 

I have called BOA numerous times about this mistake, spending many hours on the phone trying to remedy this problem, and no one will credit the funds back into my account. Each time I call, I get a different person with a different story. Each time I am told to wait. Sometimes I have been told to wait 3-5 days, other times 7-10 days, and the last time, XX/XX/XXXX, I was told to wait 30 days by a "" supervisor. '' I have made 2 monthly mortgage payments that are higher than necessary, because this error has created a shortage in my escrow, which has significantly increased the amount of my mortage payment that is due monthly. BOA has refused multiple times to do a new escrow analysis, stating that this can't be done until the {$1500.00} premium has been recovered from XXXX. This is extremely frustrating, because they are the ones who won't credit back the funds that they took in error from me and gave to XXXX... supposedly. 

I have went as far as contacting XXXX myself trying to recoup the funds. I asked XXXX to return any funds that they may have received. I was assured that no check had been received or cashed, because I had canceled my policy with them. The XXXX representative told me to call BOA and request a "" stop check. '' I informed her that I had already asked for that and had been denied. 

I believe that BOA has been given more than ample time to resolve my concerns, but as of this afternoon, BOA still has not. I'm beginning to wonder if they plan to remedy this problem at all? Any help that you could render would be greatly appreciated.",Escrow issues,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MO,64804,NA,Consent provided,Web,2022-05-19,Closed with monetary relief,Yes,N/A,5579971
39,2022-05-18,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"Good afternoon, I am writing you in hopes you can be of assistance in correcting this misuse of HAF funds by Bank of America.

My Mortgage Servicer Bank of America requested, received and applied my HAF California Mortgage Relief funds incorrectly.

Per Californias HAF program Plan submitted to the U.S. Treasury for approval the goal of this program is to bring California Homeowners mortgage 's to a fully reinstated "" Current '' status. Unfortunately that is not what happened.

I was approved for the California HAF program under the California Mortgage Relief Program. However, the funds requested by me to bring my Mortgage to a fully reinstated "" Current '' status {$24000.00} as of XX/XX/2022 had been changed to {$9800.00} by a representative of the California Mortgage Relief Program per my loan servicer BofA.

I had contacted both BofA and the CA Mortgage Relief Program numerous times to inform them of how important it was to have the correct amount funded to fully reinstate my mortgage to Current as my home was and is now again in a forclouser status.

However, I was not contacted back byeither party prior to funds being paid to BofA by the CA Mortgage Relief Program in the amount of {$9800.00} which was intended to bring my Mortgage to a fully reinstated "" Current '' status per the "" Congratulations on your approval, funding and funds being applied by your loan servicer to bring your mortgage to a fully reinstated Current status '' email I received from the California Mortgage Relief Program ( which it did not ).

My loan servicer Bank of America did not apply the total amount of funds recieved {$9800.00} to my principal balance as intended by California 's Mortgage Relief program.

Funds where applied : Principal Balance : {$7000.00} Interest : {$1900.00} Escrow : {$390.00} And held in Unapplied funds account : {$520.00}.

I believe this to be an intentional misuse of Federal Covid-19 CARES Act grant funds by Bank of America . I believe this intentional misuse of funds was committed by Bank of America so they could continue to proceed with the forclouser sale of my home. I believe that Bank of America did this against the intended purpose of the HAF program so they could profit off of the funds received from the California Mortgage Relief Program and then double dip into all the additional funds they will receive on the forclouser sale. I believe Bank of America Intentionally misinformed the CA Mortgage Relief Program of the amount needed to bring my mortgage current and then intentionaly misused those funds intended to bring my home to a fully reinstated "" Current '' status. Leaving my XXXX XXXX veteran husband and I in desperate need of assistance again. 

I have sent a Notice of Error to Bank of America and a email to the California Mortgage Relief Program with no response received.

Thank you in advance for all of your assistance, XXXX XXXX XXXX XXXX XXXX XXXX If needed please contact me at XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX",Mortgage/ disaster relief,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,95660,Servicemember,Consent provided,Web,2022-05-18,Closed with explanation,Yes,N/A,5575059
40,2022-04-28,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"XX/XX/XXXX loan transferred from XXXX XXXX XXXX. We were current with no late fees or fees of any kind on the account, have statements to prove it. 

XX/XX/XXXX received 1st statement from BAC homeloans stating we owed XXXX additional fees from previous servicer. There was NO nexplanation of what these fees were for, was not able to get any information at all what these fees were for and what generated them. 

XX/XX/XXXX call to make the monthly mortgage payment, was told we were behind in the mortgage payment and didn't allow me to speak to anyone until I made the past due balance from XXXX. Mindyou, the account WAS transferred in XXXX and there was NO record of us any longer with Shellpoint and no record at BAC so I could NOT make my payment on time. 

XX/XX/XXXX, "" corporate advance fees '' is what I was told were added and disputed to have these removed which will take 15 days, reference number XXXX. 

XX/XX/XXXX, received XXXX statement with the "" corporate fees '' still showing, was never dealth with from previous call in early XXXX. 

Many years ago, after the countrywide scandal and bank of America received a government bailout, we were supposed to be included in the Bank of America Debt Settlement Program. This was supposed to be paid to millions of home owners. This was then hushed away, the phone number disconnected and I could not get any further information about this program. Millions lost their homes. 

XXXX I requested documents of the Debt Settlement Program, have been stonewalled, dismissed whenever I asked about it. 

I also asked to physically "" SEE '' an original, unaltered Deed of Trust to be provided to me, with a member of Bank of America, the XXXX XXXX XXXX  XXXX ( trustee ) and to meet me with this original Deed of Trust. My requests were dismissed, I was given the runaround, was told XXXX  XXXX didn't house this, BAC did and BAC said they only had a copy. 

XX/XX/XXXX, Was just told today, BAC only has copies of the Deed of Trust. 

I have previously complained to the CFPB about Bank of America, XXXX XXXX XXXX  XXXX, XXXX XXXX XXXX these records should be on file for further reference regarding the shady banking practices, excessive, unexplained fees.",mortgage sold/ customer service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",OR,97018,Servicemember,Consent provided,Web,2022-04-29,Closed with explanation,Yes,N/A,5512922
41,2022-04-27,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I had a similar complaint in XXXX of XXXX. Bank of America "" fixed '' their system and now the same thing is happening again. My checking account and mortgage are both with Bank of America and I also use their electronic bill pay system. Unless I pay my mortgage on the EXACT DUE DATE, their payment system processes the EXACT MORTGAGE AMOUNT as a Principal only payment. 

I have to spend a minimum of XXXX minutes, if I'm lucky, ( if not it can be an hour or better ) EVERY TIME I pay the mortgage. This is beyond frustrating and and HUGE waste of my time. Additionally, this messes up by taxes if the payments aren't correct in time AND there is absolutely no way to tell what is happening with the mortgage with them back things in and out of the system. 

THIS IS A NEW COMPLAINT, as Bank of America fixed the last issue on XX/XX/XXXX. This started to happen again in XXXX. Again, I wait until I receive the ebill and pay from their system. 

My payments for the following were processed incorrectly : Mortgage due date of XX/XX/XXXX paid on XX/XX/XXXX was misapplied to principle and in additional the the mortgage due date of XX/XX/XXXX paid on XX/XX/XXXX. Working in the IT field I would assume they have BUGS in their program that are causing this, but I should be compensated for them WASTING MY TIME each and every month!! It isn't like I'm paying the mortgage a month in advance. They need to FIX their mortgage payment system once and for all!!",Mortgage/ payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",VA,22003,NA,Consent provided,Web,2022-04-27,Closed with explanation,Yes,N/A,5508805
42,2022-04-22,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I am requesting the following from Bank of America, which I am also sending in a letter today. I have tried to resolve this issue through numerous phone calls and emails with Bank of America with no success. The details of what happened are included in the letter. 

Date : XXXX To : Bank of America XXXX XXXX. XXXX XXXX XXXX XXXX, CA XXXX From : XXXX XXXX XXXX XXXX XXXX XXXX 
XXXX XXXX, CA XXXX Mortgage Loan Number : XXXX I am writing to request that you correct the error described below in regard to the mortgage on my property at XXXX XXXX XXXX, XXXX XXXX, CA XXXX. 

Please do the following : Do not transfer the loan servicing to XXXX XXXX XXXX or any other entity until you resolve this issue. If you have already transferred the loan servicing before processing this request, reverse it. 
Correct the accounting of my payments so that you {$33000.00} of our XXXX  mortgage payments as interest payments. 
Create and send me a revised XXXX 1098 stating that we paid {$33000.00} in interest payments. 
Remove the late charge effective XXXX and any other late charges issued since then. 
Confirm in writing that the remaining payments due are the same as those in the original amortization schedule, and send the numeric values of those payment amounts in writing. 


You already have background information on this issue from notes from the multiple phone calls and emails I have made to Bank of America, but I will recap here : At around XXXX XXXX XXXX XXXX I accidentally scheduled a manual payment for the amount due XXXX from XXXX in addition to the automatic payments we had set up from XXXX XXXX Then, after learning from my wife that we had automatic payments set up from our XXXX checking account, I canceled the manual payment around XXXX minutes later, at around XXXX XXXX XXXX Apparently your website mishandled the cancellation request, because that payment went through, then the automatic payment went through on XXXX. 

I tried to get the extra payment refunded by Bank of America through a phone call where I received the case code XXXX. The representative said that it could take up to 45 business days, but that amount of time passed with no updates to me or my account. 

I also wrote to XXXX on XXXX and again on XXXX after XXXX business days had passed but received no response. 

Eventually I asked XXXX to cancel the extra payment from their side, which they did. 

When doing my 2021 taxes on XXXX I realized that the 1098 from Bank of America had the wrong amount listed for Total Interest Paid in XXXX, {$27000.00} instead of {$33000.00}. After talking with Bank of America representatives and inspecting my XXXX bank statements, I learned for the first time that XXXX payments had been credited back to me in XXXX, one on XXXX and XXXX on XXXX. One credit was a correct correction of the extra payment from XXXX, but the other one was a mistake by Bank of America. 

I spoke with multiple people from Bank of America between XXXX and XXXX, asking them to make the corrections listed in the bullet points toward the top of this letter, but none of them were able to fix this or stay in contact with me. 

I received a letter on XXXX, dated XXXX, the same day that I last heard from a home loan escalation officer, XXXX, who I was working with, stating that my loans servicing would be transferred to XXXX XXXX XXXX on XXXX. I find it very suspicious that instead of XXXX continuing to work on fixing my problem after XXXX, Bank of America decided to transfer my account to another company on that same day. 


You may reach me at XXXX ( preferred ), ( XXXX ) XXXX, and/or XXXX XXXX XXXX XXXX XXXX XXXX XXXX CA XXXX. 


Sincerely, XXXX XXXX",mortgage sold/ customer service,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94070,NA,Consent provided,Web,2022-04-22,Closed with monetary relief,Yes,N/A,5484381
43,2022-04-22,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"This complaint involves the CFPB in managing my complaint # XXXX submitted on XX/XX/2022. 

My complaint is focussed on being informed by CFPB via an e-mail dated XXXX that the subject was listed as : "" Review the company 's response to your complaint ''. 

The information in the email stated that I need to : "" Log in to view company response ''. 

I logged in but i could not find anywhere through the available areas I could open up and review any documents from Bank of America that pertained to my initial complaint. 

I was unable to find anything from Bank of America to download to review their resolution. 

So i contacted CFPB directly ( XXXX ) to ask them what steps i needed to take to obtain B of A 's response to my complaint to them. I was told that there will not be a document to review. 

I was then told by CFPB that B of A 's resolution Department wanted to speak with me instead of providing a document and explain what they have been working on and what their arrangement was going forward.

Further info from CFPB about this request indicated that the CFPB group would never see a document of the resolution and that B of A would not be required to provided any written documentation pertaining to the resolution. And that CFPB was OK with that.

I told CFPB that I could not believe that that was even an option for B ofA to be able to skate away from their financial reporting requirements like that and not even have to post a document that provides an explanation and a resolution to my complaint.

It alarms me to no end that I have had to be patient while this complaint ran its course only to find out that a discussion is all that they had planned for the conclusion of my complaint without solving any of the problems that their system is causing in the mortgage reporting accuracy every month.

I was told by CFPB that i needed to contact B of A directly to setup time for this discussion. I have called my representative there three times this week and there has not been any effort by my representative to return my calls or email me any information. 

In the email from CFPB dated XXXX, labelled, "" Review the company 's response to your complaint ''. The CFPB document goes on to state ; "" The company has responded to your complaint. Log in to the Bureau 's secure website to review the company 's response online. You can also review the company 's response by phone with someone. Thank you for participating in our complaint process. This complaint is now closed. '' In a section of this CFPB email titled, "" Company responded on XXXX ''. it states "" The company sent its response directly to you and provided a copy to the CFPB. It may take a few days for you to receive the company 's response. To protect consumer privacy the CFPB has not included the company 's response in this consumer portal. You can contact the company at ( XXXX ) XXXX x XXXX about its response to this complaint. '' In the next section "" Feedback requested on XXXX '', It states "" We welcome your feedback on how the company responded to your complaint. You will have 60 days from when the company responded to share your feedback. The CFPB will share your feedback responses with the company and use the information to help the CFPB 's work with the consumer complaints. Submit your feedback. feedback due XXXX. 

the CFPB has closed your complaint. '' This is my first feedback and I am disappointed to what exactly has taken place with my account in the time frame that i have been trying to get the corrupt processes overturned and corrected, which has not been accomplished through this complaint exercise the CFPB has ended without a document that pertains to this complaint and my many conversations with XXXX and B of A, consumer resolution.",Undecipherable,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,48116,"Older American, Servicemember",Consent provided,Web,2022-04-22,Closed with monetary relief,Yes,N/A,5483914
44,2022-04-21,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"Bank of america, cashed a check on a mortgage in 2017. Then they said that I didn't pay it and reported my name and my wife 's name to XXXX XXXX XXXX. Saying I was late and didn't pay it. for over 5 years. Once we confronted BOA they stated it wasn't there fault it was XXXX XXXX. XXXX XXXX stated that BOA cashed the check not them. Therefore, I would like to file a complaint with BOA for misrepresenting the facts and for illegal reporting to Credit agencies, slander,",Mortgage/ payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NM,87004,Servicemember,Consent provided,Web,2022-04-21,Closed with explanation,Yes,N/A,5481585
45,2022-04-11,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I filed a complaint against Bank of America on XX/XX/XXXX that its negligence in carefully reviewing the Insurance Loss Inspection Reports resulting in more money being released to the contractor who had underperformed in the percentage of work to warrant that sum of money. From XXXX till now, 53 days had gone by, with 35 emails encounters. The primary individuals from BofA I had communicated with were XXXX XXXX, BofA Regulatory Complaints, and XXXX XXXX, Property Claims. Very unfortunate that those issues were never resolved through those two individuals To be specific, XXXX XXXX, who had used avoidance not to answer questions that I posted to him, not providing email for a more efficient way to communicate, deliberately delay in answering emails or calls by constantly making excuses from very busy, to not receiving my emails ( when they were confirmed received ) ; creating confusion by pretence that he did not recognize an individual when that person had been in contact with him several times. 

The Response from BofA through XXXX XXXX was filled with lies to mask underlying issues BofA has with me, a great 40 % to 50 % of the Response content was addressing funds issued by BofA, fund disbursed to me instead of addressing how they neglect reviewing the reports closely, knowing the content of the reports were incorrect and still releasing funds to the scrupulous contractors. 

I realize money being scammed by dishonest contractors is not a responsibility of BofA, but promoting inefficient check and balance in the reviewing of those Insurance Loss Inspection report process, and creating an opportunity for those scrupulous contractor to scam bank customer is what BofA must be responsible for. In accordance with the Bank of Americas ( BofA ) three pages Claim Notice Procedure sent on XX/XX/XXXX ; on page 2, bottom paragraph, under Step 4 : Schedule an Inspection ; Inspections are required throughout the claim process to validate repairs are progressing and to support release of additional claim funds and Step XXXX : Received additional payments from us : Once we review the inspection results, we will issue a subsequent disbursement. 

How I spend the funds, and who to spend it on is my responsibility, trusting BofA to exercising full judgment whether to release or not release that money through the validation and accuracy in those reports is the responsibility of BofA and its subcontractor XXXX XXXX XXXX. Had BofA reviewed the XX/XX/XXXX inspection reports properly, and going through the procedure to validate work completed against accompanied photos, it would have failed to validate, and the 60 % job completion was also not supported. BofA should never had release the second disbursement, and yet BofA approved of a second funding release. BofA was either negligence in properly reviewing the inspection report ; or knowingly major falsify data appeared in the report and chose to ignore them. This is an act of collusion between BofA and XXXX to release 60 % of the funding when only 33 % of the fund should have been released. 

It is evident that BofA had gone through great length in protecting XXXX from wrong doing ; that is, producing falsified Insurance Loss Inspection Reports repeatedly. Someone within BofA is in collusion with XXXX  to scam bank customers leading to losing their money to dishonest contractors. This form of collusion within BofA is deeply seeded and I am requested appropriate federal agency to be involved with a full investigation. I am sending as an attachment the email encounters I had with various BofA staff in support of what I am saying is the truth.",Insurance claims on home,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98138,"Older American, Servicemember",Consent provided,Web,2022-04-11,Closed with explanation,Yes,N/A,5434269
46,2022-04-06,Mortgage,Conventional home mortgage,Trouble during payment process,NA,Payment made to XXXXXXXX XXXX XXXX XXXX in the state of Illinois for my mortgage with BOA. The check was cashed and NOT applied to the correct account. The company STOLE money from me and caused negative credit reporting.,Mortgage/ payments,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NM,87004,Servicemember,Consent provided,Web,2022-04-29,Closed with explanation,Yes,N/A,5413635
47,2022-03-30,Mortgage,Conventional home mortgage,Trouble during payment process,NA,"I applied for ca mortgage relief back in XXXX, 2022 it was approved, they send my past due payments about {$58000.00} to BANK OF AMERICA in XXXX 2022 Bank of America Transferred My loan to XXXX XXXX XXXX in XXXX, XXXX, 2022. 
Now Bank of America is Holding the money that Ca. Mortgage Relief sent them. they are not returning the money they did not transfer the money to XXXX, my house is going to go to foreclose soon, XXXX  is keep charging me a very higher late fee charges of {$280.00} a month higher than Bank of America was {$97.00} I need help to get the money back so it can be sent to new servicing co. XXXX.",Mortgage/ disaster relief,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91365,Older American,Consent provided,Web,2022-03-30,Closed with explanation,Yes,N/A,5387605
